TFs,Group,Gene_number,Genes
SAND,ALL,8,AC168977.1;Aire;Deaf1;Gmeb2;Gmeb1;Sp110;Sp140;Sp100
SAND,DEG,0,--
SAND,Up,0,--
SAND,Down,0,--
SF-like,ALL,2,Nr5a1;Nr5a2
SF-like,DEG,0,--
SF-like,Up,0,--
SF-like,Down,0,--
SRF,ALL,6,Borcs8;Mef2b;Srf;Mef2c;Mef2d;Mef2a
SRF,DEG,0,--
SRF,Up,0,--
SRF,Down,0,--
STAT,ALL,7,Stat6;Stat5b;Stat5a;Stat3;Stat2;Stat4;Stat1
STAT,DEG,0,--
STAT,Up,0,--
STAT,Down,0,--
T-box,ALL,17,Tbx15;Tbx19;Tbx3;Tbx5;Tbr1;Tbx6;Mga;Tbx20;Tbx2;Tbx10;Tbx4;T;Eomes;Tbx22;Tbx1;Tbx21;Tbx18
T-box,DEG,0,--
T-box,Up,0,--
T-box,Down,0,--
TEA,ALL,4,Tead1;Tead2;Tead4;Tead3
TEA,DEG,0,--
TEA,Up,0,--
TEA,Down,0,--
TF_Otx,ALL,3,Otx2;Otx1;Crx
TF_Otx,DEG,0,--
TF_Otx,Up,0,--
TF_Otx,Down,0,--
TF_bZIP,ALL,46,Maf;Atf2;Fosb;Crem;Nfe2l2;Xbp1;Bach1;Nfil3;Atf6b;Bach2;Mafa;Atf6;Creb3l1;Nfe2l3;Fos;Jdp2;Batf;Creb5;Gm28047;Atf7;Fosl2;Nfe2;Mafg;Junb;Creb3l4;Atf5;Creb3;Batf3;Atf3;Dbp;Nrl;Mafb;Creb1;Atf1;Fosl1;Hlf;Jun;Maff;Creb3l2;Batf2;Crebzf;Creb3l3;Atf4;Tef;Nfe2l1;Mafk
TF_bZIP,DEG,0,--
TF_bZIP,Up,0,--
TF_bZIP,Down,0,--
THAP,ALL,7,Thap2;Thap1;Thap7;Thap3;Thap11;Thap12;Thap4
THAP,DEG,0,--
THAP,Up,0,--
THAP,Down,0,--
THR-like,ALL,20,Nr1h3;Ppara;Rarb;Thrb;Nr1d2;Nr1h5;Rorb;Nr1i3;Vdr;Nr1h4;Rarg;Nr1h2;Nr1i2;Rorc;Ppard;Pparg;Thra;Nr1d1;Rora;Rara
THR-like,DEG,0,--
THR-like,Up,0,--
THR-like,Down,0,--
TSC22,ALL,3,Tsc22d2;Tsc22d1;Tsc22d3
TSC22,DEG,0,--
TSC22,Up,0,--
TSC22,Down,0,--
Tub,ALL,5,Tub;Tulp4;Tulp2;Tulp3;Tulp1
Tub,DEG,0,--
Tub,Up,0,--
Tub,Down,0,--
ZBTB,ALL,44,Zbtb37;Patz1;Zbtb38;Zbtb39;Zfp131;Bcl6b;Zbtb17;Zbtb2;Gzf1;Zbtb12;Zbtb25;Zbtb1;Zbtb7b;Zbtb18;Zbtb32;Zbtb16;Zbtb44;Zbtb7c;Zbtb21;Zbtb20;Zbtb34;Zbtb43;Hic2;Zbtb14;Hic1;Zbtb42;Zbtb8a;Zbtb8b;Zbtb48;Zbtb45;Mynn;Zbtb49;Zfp651;Zbtb46;Zbtb7a;Zbtb6;Zbtb26;Zbtb11;Zbtb40;Zbtb24;Zbtb4;Zbtb3;Bcl6;Zbtb41
ZBTB,DEG,0,--
ZBTB,Up,0,--
ZBTB,Down,0,--
bHLH,ALL,100,Atoh7;Hes1;Tfec;Ascl4;Sim1;Neurog2;Tal2;Tcf24;Helt;Ascl1;Msc;Nhlh2;Ascl3;Srebf1;Tcf23;Figla;Arntl;Hand2;Mxi1;Mxd1;Olig2;Olig1;Bhlhe41;Usf1;Tfeb;Nhlh1;Tfap4;Arntl2;Mlx;Msgn1;Mycn;Neurod1;Mycs;Ahrr;Sohlh2;Neurod6;Npas2;Max;Usf2;Hey1;Atoh1;Tal1;Ptf1a;Tcf15;Neurod4;Mxd3;Lyl1;Olig3;Scx;Tcf4;Atoh8;Id1;Id2;Bhlhe22;Myf5;Myf6;Tfe3;Neurog1;Mitf;Mlxip;Neurog3;Mxd4;Tcf21;Mycl;Heyl;Myod1;Id4;Tcfl5;Clock;Bhlhe23;Usf3;Bhlhe40;Ferd3l;Twist1;Ascl2;Ahr;Mnt;Tcf3;Mesp1;Mesp2;Hes7;Arnt2;Hey2;Bhlha9;Hes2;Hes3;Arnt;Id3;Srebf2;Hes6;Twist2;Hes5;Mlxipl;Neurod2;Myc;Hand1;Tcf12;Myog;Ascl5;Bhlha15
bHLH,DEG,1,Bhlha15
bHLH,Up,1,Bhlha15
bHLH,Down,0,--
zf-BED,ALL,3,Zbed4;2700081O15Rik;Gm38394
zf-BED,DEG,0,--
zf-BED,Up,0,--
zf-BED,Down,0,--
zf-C2H2,ALL,563,Zfp934;Zfp935;Gm3604;Zfp808;Zfp386;Fezf2;Zfp296;Zfp341;Zfp951;Zfp1;Plag1;Prdm4;Zfy2;Zfp697;Zfp39;2810021J22Rik;Gm12258;Zfp42;E4f1;Zfy1;Gm5141;Klf5;Zfp202;Klf12;Zfp867;Prdm8;Klf4;Zfp180;Zfp930;Zfp112;Zfp868;Zfp235;Zfp114;Zfp964;Zfp869;Zfp963;Zfp111;Gm20422;Zfp866;Zfp109;Zfp108;Zfp93;Zkscan17;Zfp61;Zfp94;Zfp91;Zfp770;Zkscan14;Zkscan5;Zfp575;Zfp663;Gfi1b;Zfp655;Zscan25;Zfp334;Zeb1;Gm20939;Prdm14;Sp4;Sp8;Zfp574;Zfp526;Zfp367;Gfi1;Zfp41;Gtf3a;Insm1;Zfp143;Zfp410;Zfp369;Zfp521;Gm10139;Gm10324;Gm10772;2410141K09Rik;Egr4;Zfp469;Zfpm1;Glis1;Zfp408;Zfp712;Zfp708;Rslcan18;Zfp759;Snai3;Rsl1;Zfp455;Zfp558;Zfp458;Zfp457;Zfp595;Hinfp;Zfp953;Zfp456;Zfp317;Zfp429;Zfp397;Zfp35;Zfp24;Zfp560;Zfp26;Zkscan16;Zfp459;Zfp874a;Ikzf1;Zfp874b;Zfp58;Zfp426;Zfp623;Zfp707;Zfp266;Zfp87;Zfp786;Zfp846;Zfp398;Zfp748;Zfp282;Zfp729b;Zfp212;Zfp189;Zfp956;Zfp729a;Zfp738;Zfp65;Zfp607b;Zfp60;Zfp626;Zfp59;Zfp607a;Zfp974;Zfp780b;Zfp850;Zfp777;Zfp746;Zfp85;Zfp493;Zfp273;Zfp467;Zfp276;Klf9;Prdm2;Zfp263;Zfp174;Zfp597;Fezf1;Repin1;Zfp148;Zfp661;Prdm12;Snai1;Zfp709;Zfp882;Zfp775;Zfp617;Zfp961;5430403G16Rik;4930522L14Rik;Gm15446;Zfp932;Gm17655;Egr1;Zfp605;Klf2;Zfp740;Zfp120;Gm10770;Gm14139;Wiz;Klf3;Zfp937;Gm21994;Gm14124;Zfp442;Zfp345;Glis2;Zfp37;Zfp219;Zfp84;Zfp30;Zic5;Zfp790;Zfp940;Zfp420;Zfp27;Zfp513;Zfp74;Sp7;Zfp568;Zfp827;Zfp14;Sp1;Zfp82;Zfp566;Zic2;Zfp260;Zfp382;Zfp146;Sall4;Zfp990;Zfp641;Gm13212;Zfp980;Zfp986;Zfp64;Zfp800;Osr1;Tshz2;Zfp981;Zfp993;Zfp989;Rex2;Zfp217;Zfp991;2610008E11Rik;Zfp988;Zfp978;Zfp982;Zfp985;Zkscan2;Zfp979;Zfp871;Zfp618;Zfp534;Zfp984;Zfp811;Zfp933;Zfp799;Zfp870;Zfp472;Zfp952;Zfp292;Ikzf4;Zfp763;Zfp3;Zfp512;Zfp563;Zxdc;Glis3;Plagl1;Klf15;Zfp955a;Zfp955b;Zfp81;Zfp653;Zfp101;Bcl11a;Zfp872;Zfp809;Zfp599;Zfp810;Zfp72;Zfp474;Zfp825;Prdm6;Zfx;Sall2;Zfp358;Zfp119a;Zfp959;Zfp119b;Ctcfl;Maz;Hivep2;Zfp553;Zxdb;Zfp771;Rreb1;Zfp768;Zfp747;9130019O22Rik;E430018J23Rik;Zfp764;Zfp688;Zfp689;5730507C01Rik;Egr3;Scrt2;Zfp629;Prdm5;Zfp507;Tshz3;Zfp536;Zfp668;Zfp619;Zfp646;AI987944;AW146154;Gm6871;2610021A01Rik;Zfp788;Zfp384;Zfp141;Zfp977;Zfp976;Zfp975;Gm17067;Gm2381;Zfp936;EU599041;Zfp715;Prdm10;Zfp658;Zfp719;Zfp819;Klf1;9130023H24Rik;Zfp532;Prdm13;Zfp831;Gm14444;Gm14393;Scrt1;Gm14399;Gm14443;Bcl11b;Gm14391;Gm4631;Zfp968;Gm4724;Zfp965;Zfp287;Gm11007;Zfp969;Zfp286;Wt1;Klf11;Gm2007;Gm6710;Zfp966;Zfp473;Gm2026;Gm2004;Gm11009;Zfp791;Klf17;Gm14434;Zfp967;Gm14308;Klf8;Zfp973;Hivep1;Gm14305;Gm14295;Gm14419;Gm14401;Gm14410;Gm14409;Gm14412;Gm14418;Zfp970;Gm14403;Gm14406;Gm14322;Gm14325;Zfp972;Gm14326;Zfp971;Zfp931;Gm6020;Gm21060;Yy1;Zfp691;Sall3;Snai2;Zfp423;Zfp236;Zkscan6;Zfp251;Zfp7;Zfp516;Tshz1;Zfp407;Zfp647;Hivep3;Zfp958;Yy2;Sall1;Plagl2;Zfp69;Rlf;Zfp941;Prdm15;Klf6;Zfp169;Bnc2;Sp5;Klf7;Mtf1;Klf14;Zfp735;Zfp616;Zfp449;Klf13;Zfp319;Ovol1;Zfp628;Zfp579;Fiz1;Zfp524;Zfp865;Zfp784;Zfp580;Zfp57;Ikzf2;Zfp787;Zfp444;Zscan20;Zscan5b;Zfp352;Zfp667;Zfp583;Zfp362;Zfp78;Zfp28;Rest;Zscan29;Zim1;Zic3;Peg3;Zfp954;Zfp773;Zfp418;Zfp772;Zfp664;Zfp687;Zik1;Zscan4b;Zscan4c;Zscan4d;Zfp523;Klf16;Zscan4e;Zscan4f;Zfp710;Zfp551;Zfp606;Zfp329;Zfp142;Zfp110;Zfp128;Zscan22;Zfp324;Zfp62;Zfp446;Mecom;Zscan2;Ctcf;Zfp592;Mzf1;Zfp711;Zfp541;Zfp11;Zfp90;Prdm9;Zfp335;Zfp275;Zfp92;Zfp445;Zfp105;Sp3;Zfp366;Zfp354c;Zfp879;Zfp960;Zfp97;Zfp512b;Zfp454;Gm21836;Zfp683;Zfp2;Zfp354b;Zfp354a;Sp9;Zfp488;Gli3;Zfp612;Zfp639;Osr2;Insm2;Zfp652;Zfp160;Zfp677;Zfp54;Zfp51;Zfp53;Zfp46;Zfp52;Zfp948;Gli1;Zfp983;Gm10509;Gm10226;Zfp760;Zfp229;Zfp820;Zfp995;Zfp942;Zfp943;Gm9772;Zfp947;Zfp994;Zfp944;Zfp758;Klf10;Zfp946;Zfp945;Zscan12;Zkscan3;Zfp40;Zscan26;Zkscan4;Zfp213;Zfp13;Zkscan8;Aebp2;Zfpm2;Zscan10;Ovol2;Zfp184;Sp2;Sp6;Prdm16;Zfp422;Zfp322a;Zfp637;Zfp239;BC025920;Gm10778;Zfp433;Gm4767;Zfp873;AU041133;Zfp938;Gm4924;Zfp248;Zfp654;Zfp9;Zfp182;Zeb2;Zfp300;Prdm1;Ikzf3;Gli2;Zfp692;Zfp672;Zfat;Zkscan1;Zscan21;Zfp113;Zfp281;Zfp157;Zfp68;A430033K04Rik;Zfp648;Rbak;Zfp12;Zfp316;Zfp853;Zfp949;Zic1;Zic4;Vezf1;2010315B03Rik
zf-C2H2,DEG,1,Gm6710
zf-C2H2,Up,0,--
zf-C2H2,Down,1,Gm6710
zf-C2HC,ALL,6,St18;Myt1l;L3mbtl1;L3mbtl4;Kat7;Myt1
zf-C2HC,DEG,0,--
zf-C2HC,Up,0,--
zf-C2HC,Down,0,--
zf-GATA,ALL,14,Gata4;Gata3;Gata6;Zglp1;Gata2;Gatad2b;Gata5;Gata1;Rere;Gatad1;Mta1;Mta3;Trps1;Mta2
zf-GATA,DEG,0,--
zf-GATA,Up,0,--
zf-GATA,Down,0,--
zf-LITAF-like,ALL,2,Cdip1;Litaf
zf-LITAF-like,DEG,0,--
zf-LITAF-like,Up,0,--
zf-LITAF-like,Down,0,--
zf-MIZ,ALL,8,Zmiz2;Rnf138;Zmiz1;Pias2;Rnf138rt1;Pias4;Pias1;Pias3
zf-MIZ,DEG,0,--
zf-MIZ,Up,0,--
zf-MIZ,Down,0,--
zf-NF-X1,ALL,2,Nfxl1;Nfx1
zf-NF-X1,DEG,0,--
zf-NF-X1,Up,0,--
zf-NF-X1,Down,0,--
